População
Sigla;Código;Município;2000;
SC;4211652;Novo Horizonte;3101;
SC;4211702;Orleans;20031;
SC;4211751;Otacílio Costa;13993;
SC;4211801;Ouro;7419;
SC;4211850;Ouro Verde;2352;
SC;4211876;Paial;2052;
SC;4211892;Painel;2384;
SC;4211900;Palhoça;102742;
SC;4212007;Palma Sola;8206;
SC;4212056;Palmeira;2133;
SC;4212106;Palmitos;16034;
SC;4212205;Papanduva;16822;
SC;4212239;Paraíso;4796;
SC;4212254;Passo de Torres;4400;
SC;4212270;Passos Maia;4763;
SC;4212304;Paulo Lopes;5924;
SC;4212403;Pedras Grandes;4921;
SC;4212502;Penha;17678;
SC;4212601;Peritiba;3230;
SC;4212650;Pescaria Brava;;
SC;4212700;Petrolândia;6406;
SC;4212809;Piçarras;10911;
SC;4212908;Pinhalzinho;12356;
SC;4213005;Pinheiro Preto;2729;
SC;4213104;Piratuba;5812;
SC;4213153;Planalto Alegre;2452;
SC;4213203;Pomerode;22127;
SC;4213302;Ponte Alta;5168;
SC;4213351;Ponte Alta do Norte;3221;
SC;4213401;Ponte Serrada;10561;
SC;4213500;Porto Belo;10704;
SC;4213609;Porto União;31858;
SC;4213708;Pouso Redondo;12203;
SC;4213807;Praia Grande;7286;
SC;4213906;Presidente Castelo Branco;2160;
SC;4214003;Presidente Getúlio;12333;
SC;4214102;Presidente Nereu;2305;
SC;4214151;Princesa;2613;
SC;4214201;Quilombo;10736;
SC;4214300;Rancho Queimado;2637;
SC;4214409;Rio das Antas;6129;
SC;4214508;Rio do Campo;6522;
SC;4214607;Rio do Oeste;6730;
SC;4214706;Rio dos Cedros;8939;
SC;4214805;Rio do Sul;51650;
SC;4214904;Rio Fortuna;4320;
SC;4215000;Rio Negrinho;37707;
SC;4215059;Rio Rufino;2414;
SC;4215075;Riqueza;5166;
SC;4215109;Rodeio;10380;
SC;4215208;Romelândia;6491;
SC;4215307;Salete;7163;
SC;4215356;Saltinho;4196;
SC;4215406;Salto Veloso;3910;
SC;4215455;Sangão;8128;
SC;4215505;Santa Cecília;14802;
SC;4215554;Santa Helena;2588;
SC;4215604;Santa Rosa de Lima;2007;
SC;4215653;Santa Rosa do Sul;7810;
SC;4215679;Santa Terezinha;8840;
SC;4215687;Santa Terezinha do Progresso;3416;
SC;4215695;Santiago do Sul;1696;
SC;4215703;Santo Amaro da Imperatriz;15708;
SC;4215752;São Bernardino;3140;
SC;4215802;São Bento do Sul;65437;
SC;4215901;São Bonifácio;3218;
SC;4216008;São Carlos;9364;
SC;4216057;São Cristovão do Sul;4504;
SC;4216107;São Domingos;9540;
SC;4216206;São Francisco do Sul;32301;
SC;4216255;São João do Oeste;5789;
SC;4216305;São João Batista;14861;
SC;4216354;São João do Itaperiú;3161;
SC;4216404;São João do Sul;6784;
SC;4216503;São Joaquim;22836;
SC;4216602;São José;173559;
SC;4216701;São José do Cedro;13678;
SC;4216800;São José do Cerrito;10393;
SC;4216909;São Lourenço do Oeste;19647;
SC;4217006;São Ludgero;8587;
SC;4217105;São Martinho;3274;
SC;4217154;São Miguel da Boa Vista;2018;
SC;4217204;São Miguel do Oeste;32324;
SC;4217253;São Pedro de Alcântara;3584;
SC;4217303;Saudades;8324;
SC;4217402;Schroeder;10811;
SC;4217501;Seara;16484;
SC;4217550;Serra Alta;3330;
SC;4217600;Siderópolis;12082;
SC;4217709;Sombrio;22962;
SC;4217758;Sul Brasil;3116;
SC;4217808;Taió;16257;
SC;4217907;Tangará;8754;
SC;4217956;Tigrinhos;1878;
SC;4218004;Tijucas;23499;
SC;4218103;Timbé do Sul;5323;
SC;4218202;Timbó;29358;
SC;4218251;Timbó Grande;6501;
SC;4218301;Três Barras;17124;
SC;4218350;Treviso;3144;
SC;4218400;Treze de Maio;6716;
SC;4218509;Treze Tílias;4840;
SC;4218608;Trombudo Central;5795;
SC;4218707;Tubarão;88470;
SC;4218756;Tunápolis;4777;
SC;4218806;Turvo;10887;
SC;4218855;União do Oeste;3391;
SC;4218905;Urubici;10252;
SC;4218954;Urupema;2527;
SC;4219002;Urussanga;18727;
SC;4219101;Vargeão;3526;
SC;4219150;Vargem;3225;
SC;4219176;Vargem Bonita;5158;
SC;4219200;Vidal Ramos;6279;
SC;4219309;Videira;41589;
SC;4219358;Vitor Meireles;5519;
SC;4219408;Witmarsum;3251;
SC;4219507;Xanxerê;37429;
SC;4219606;Xavantina;4404;
SC;4219705;Xaxim;22857;
SC;4219853;Zortéa;2633;
SC;4220000;Balneário Rincão;;
SC;4299919;São Miguel;;
