Índice de Desenvolvimento Humano Municipal-ed 2003
Sigla;Código;Município;2000;
SC;4211009;Mondaí;0,809;
SC;4211058;Monte Carlo;0,733;
SC;4211108;Monte Castelo;0,737;
SC;4211207;Morro da Fumaça;0,804;
SC;4211256;Morro Grande;0,79;
SC;4211306;Navegantes;0,774;
SC;4211405;Nova Erechim;0,81;
SC;4211454;Nova Itaberaba;0,759;
SC;4211504;Nova Trento;0,815;
SC;4211603;Nova Veneza;0,813;
SC;4211652;Novo Horizonte;0,752;
SC;4211702;Orleans;0,814;
SC;4211751;Otacílio Costa;0,804;
SC;4211801;Ouro;0,828;
SC;4211850;Ouro Verde;0,792;
SC;4211876;Paial;0,752;
SC;4211892;Painel;0,753;
SC;4211900;Palhoça;0,816;
SC;4212007;Palma Sola;0,757;
SC;4212056;Palmeira;0,755;
SC;4212106;Palmitos;0,799;
SC;4212205;Papanduva;0,737;
SC;4212239;Paraíso;0,773;
SC;4212254;Passo de Torres;0,789;
SC;4212270;Passos Maia;0,732;
SC;4212304;Paulo Lopes;0,759;
SC;4212403;Pedras Grandes;0,799;
SC;4212502;Penha;0,791;
SC;4212601;Peritiba;0,81;
SC;4212650;Pescaria Brava;;
SC;4212700;Petrolândia;0,783;
SC;4212809;Piçarras;0,799;
SC;4212908;Pinhalzinho;0,826;
SC;4213005;Pinheiro Preto;0,818;
SC;4213104;Piratuba;0,806;
SC;4213153;Planalto Alegre;0,817;
SC;4213203;Pomerode;0,849;
SC;4213302;Ponte Alta;0,727;
SC;4213351;Ponte Alta do Norte;0,752;
SC;4213401;Ponte Serrada;0,768;
SC;4213500;Porto Belo;0,803;
SC;4213609;Porto União;0,806;
SC;4213708;Pouso Redondo;0,786;
SC;4213807;Praia Grande;0,763;
SC;4213906;Presidente Castelo Branco;0,832;
SC;4214003;Presidente Getúlio;0,81;
SC;4214102;Presidente Nereu;0,774;
SC;4214151;Princesa;0,751;
SC;4214201;Quilombo;0,802;
SC;4214300;Rancho Queimado;0,773;
SC;4214409;Rio das Antas;0,803;
SC;4214508;Rio do Campo;0,797;
SC;4214607;Rio do Oeste;0,799;
SC;4214706;Rio dos Cedros;0,817;
SC;4214805;Rio do Sul;0,827;
SC;4214904;Rio Fortuna;0,822;
SC;4215000;Rio Negrinho;0,789;
SC;4215059;Rio Rufino;0,736;
SC;4215075;Riqueza;0,795;
SC;4215109;Rodeio;0,81;
SC;4215208;Romelândia;0,748;
SC;4215307;Salete;0,8;
SC;4215356;Saltinho;0,745;
SC;4215406;Salto Veloso;0,796;
SC;4215455;Sangão;0,794;
SC;4215505;Santa Cecília;0,746;
SC;4215554;Santa Helena;0,787;
SC;4215604;Santa Rosa de Lima;0,795;
SC;4215653;Santa Rosa do Sul;0,762;
SC;4215679;Santa Terezinha;0,738;
SC;4215687;Santa Terezinha do Progresso;0,745;
SC;4215695;Santiago do Sul;0,772;
SC;4215703;Santo Amaro da Imperatriz;0,843;
SC;4215752;São Bernardino;0,748;
SC;4215802;São Bento do Sul;0,838;
SC;4215901;São Bonifácio;0,785;
SC;4216008;São Carlos;0,811;
SC;4216057;São Cristovão do Sul;0,764;
SC;4216107;São Domingos;0,793;
SC;4216206;São Francisco do Sul;0,82;
SC;4216255;São João do Oeste;0,811;
SC;4216305;São João Batista;0,819;
SC;4216354;São João do Itaperiú;0,787;
SC;4216404;São João do Sul;0,758;
SC;4216503;São Joaquim;0,766;
SC;4216602;São José;0,849;
SC;4216701;São José do Cedro;0,804;
SC;4216800;São José do Cerrito;0,731;
SC;4216909;São Lourenço do Oeste;0,796;
SC;4217006;São Ludgero;0,825;
SC;4217105;São Martinho;0,816;
SC;4217154;São Miguel da Boa Vista;0,754;
SC;4217204;São Miguel do Oeste;0,838;
SC;4217253;São Pedro de Alcântara;0,795;
SC;4217303;Saudades;0,831;
SC;4217402;Schroeder;0,838;
SC;4217501;Seara;0,832;
SC;4217550;Serra Alta;0,81;
SC;4217600;Siderópolis;0,817;
SC;4217709;Sombrio;0,804;
SC;4217758;Sul Brasil;0,771;
SC;4217808;Taió;0,809;
SC;4217907;Tangará;0,812;
SC;4217956;Tigrinhos;0,741;
SC;4218004;Tijucas;0,835;
SC;4218103;Timbé do Sul;0,773;
SC;4218202;Timbó;0,843;
SC;4218251;Timbó Grande;0,68;
SC;4218301;Três Barras;0,758;
SC;4218350;Treviso;0,806;
SC;4218400;Treze de Maio;0,796;
SC;4218509;Treze Tílias;0,813;
SC;4218608;Trombudo Central;0,818;
SC;4218707;Tubarão;0,842;
SC;4218756;Tunápolis;0,821;
SC;4218806;Turvo;0,821;
SC;4218855;União do Oeste;0,806;
SC;4218905;Urubici;0,785;
SC;4218954;Urupema;0,784;
SC;4219002;Urussanga;0,845;
SC;4219101;Vargeão;0,804;
SC;4219150;Vargem;0,768;
SC;4219176;Vargem Bonita;0,791;
SC;4219200;Vidal Ramos;0,766;
SC;4219309;Videira;0,851;
SC;4219358;Vitor Meireles;0,77;
SC;4219408;Witmarsum;0,807;
SC;4219507;Xanxerê;0,815;
SC;4219606;Xavantina;0,769;
SC;4219705;Xaxim;0,809;
SC;4219853;Zortéa;0,798;
SC;4220000;Balneário Rincão;;
SC;4299919;São Miguel;;
